,song,artist,text
104,Immortals,Fall Out Boy,"""Immortals"" by Fall Out Boy:
    [Verse 1]
    They say we are what we are
    But we don’t have to be
    I’m bad behavior but I do it in the be..."
105,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,"""Dj Khaled- Wish Wish (Tradução em Português)"" by Genius Brasil Traduções:
    [Intro: Cardi B, DJ Khaled & Lil 'Juice]
    (Tay Keith, foda-se esses otários)
    Cardi, cardi na música
    C..."
106,Sucker,Jonas Brothers,"""Sucker"" by Jonas Brothers:
    [Verse 1: Nick Jonas]
    We go together
    Better than birds of a feather, you and me
    We change the weathe..."
107,Whiskey Glasses,Morgan Wallen,"""Whiskey Glasses"" by Morgan Wallen:
    [Verse 1]
    Pour me, pour me another drink
    'Cause I don't wanna feel a thing
    No more, hell nah
    I just ..."
108,Take It On Back,Chase Bryant,"""Take it on back"" by Chase Bryant:
    Take it on back
    Take it on back
    Take it on back to where the grass is greener
    Yeah
    Huh, Alright
    
    She..."
109,Middle Child,J. Cole,"""MIDDLE CHILD"" by J. Cole:
    [Intro]
    You good, T-Minus?
    
    [Refrain]
    Niggas been countin' me out
    I’m countin' my bullets, I'm loadi..."
110,Say You Do,Dierks Bentley,"""Say You Do"" by Dierks Bentley:
    [Verse 1]
    Don't worry about the damage done
    Just let those words roll off your tongue
    Even if you're..."
111,Dangerous,David Guetta Featuring Sam Martin,"""Dangerous (feat. Sam Martin) [Kevin Saunderson Inner City Remix]"" by David Guetta:
    Tell us that you would like to have the lyrics of this song. Then we'll make it our highest priority..."
112,Without Me,Halsey,"""Without Me"" by Halsey:
    [Verse 1]
    Found you when your heart was broke
    I filled your cup until it overflowed
    Took it so far t..."
113,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"""​break up with your girlfriend, i’m bored"" by Ariana Grande:
    [Verse 1]
    You got me some type of way (Hmm)
    Ain't used to feelin' this way (Mmm-mmm)
    I do not know w..."
114,Please Me,Cardi B & Bruno Mars,"""Please Me"" by Cardi B & Bruno Mars:
    [Intro: Cardi B]
    Uh, uh, yeah, come on
    
    [Chorus: Bruno Mars & Cardi B]
    Please me, baby
    Turn around a..."
115,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,"""Daddy Yankee - Con Calma (ft. Katy Perry & Snow) (Traducción al Español)"" by Genius Traducciones al Español:
    [Letra de ""Con Calma (Remix)"" ft Snow & Katy Perry (Traducción al Español)]
    
    [Intro: Daddy Yankee y ..."
116,Happier,Marshmello & Bastille,"""Happier"" by Marshmello & Bastille:
    [Intro]
    Lately, I've been, I've been thinking
    I want you to be happier, I want you to be happier
    
    [V..."
117,When The Party's Over,Billie Eilish,"""​when the party’s over"" by Billie Eilish:
    [Verse 1]
    Don't you know I'm no good for you?
    I've learned to lose you, can't afford to
    Tore my shir..."
118,"Hey Look Ma, I Made It",Panic! At The Disco,"""Hey Look Ma, I Made It"" by Panic! at the Disco:
    [Verse 1]
    All my life, been hustlin'
    And tonight is my appraisal
    'Cause I'm a hooker sellin' songs
    A..."
119,Murder On My Mind,YNW Melly,"""Murder on My Mind"" by YNW Melly:
    [Intro]
    Get to roll no...
    Ayy, I'm in the studio, bro
    Oh, nah, yeah, call me, ball me
    Yeah, I'll... ..."
120,Eyes On You,Chase Rice,"""Eyes on You"" by Chase Rice:
    [Verse 1]
    We've been to both Carolinas
    Seen a big Montana sky
    Driven up and down a coast a few times..."
121,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,"""Higher"" by DJ Khaled:
    [Intro: DJ Khaled]
    We The Best music
    DJ Khaled
    
    [Chorus: John Legend]
    Oh, you keep taking me higher ..."
122,Act Up,City Girls,"""Act Up"" by City Girls:
    [Intro]
    (Earl on the beat)
    
    [Verse 1: JT & Yung Miami]
    Real ass bitch, give a fuck 'bout a nigga
    Big..."
123,Cool,Jonas Brothers,"""Cool"" by Jonas Brothers:
    [Intro: Nick Jonas]
    I'm feeling so cool
    From top to the bottom, just cool
    Every little thing that I ..."
124,Pure Water,Mustard & Migos,"""Pure Water"" by Mustard & Migos:
    [Intro: Quavo & YG]
    Woo!
    Y'all already know who I am? Right?
    Mustard on the beat, ho
    Let's go
    
    [Chor..."
125,Beer Never Broke My Heart,Luke Combs,"""Beer Never Broke My Heart"" by Luke Combs:
    [Verse 1]
    I've had a largemouth bass bust my line
    A couple beautiful girls tell me goodbye
    Trucks br..."
126,Here With Me,Marshmello Featuring CHVRCHES,"""Here With Me"" by Marshmello:
    [Verse 1]
    Can I tell you something just between you and me?
    When I hear your voice, I know I'm final..."
127,Bury A Friend,Billie Eilish,"""​bury a friend"" by Billie Eilish:
    [Intro: Mehki Raine]
    Billie
    
    [Chorus: Billie Eilish]
    What do you want from me? Why don't you run fro..."
128,High Hopes,Panic! At The Disco,"""High Hopes"" by Panic! at the Disco:
    [Intro]
    High, high hopes
    
    [Chorus]
    Had to have high, high hopes for a living
    Shooting for the stars ..."
129,Worth It,YK Osiris,"""Worth It"" by YK Osiris:
    [Intro]
    I would give you the world, nah, nah, nah
    You just gotta be worth it, yeah, yeah, yeah, yeah..."
130,Girls Like You,Maroon 5 Featuring Cardi B,"""Girls Like You - Maroon 5 ft. Cardi B [ Shevv Remix ]"" by Shevv:
    Spent 24 hours
    I need more hours with you
    You spent the weekend
    Getting even, ooh ooh
    We spent the l..."
131,Look Back At It,A Boogie Wit da Hoodie,"""Look Back at It"" by A Boogie wit da Hoodie:
    [Chorus]
    Look back at it
    She ain't never do this before, but she good at it
    Said she never made love..."
132,GIRL,Maren Morris,"""GIRL"" by Maren Morris:
    [Verse 1]
    Man, this shit's unflatterin', all up in my head again
    I don't feel myself right now, mayb..."
133,Beautiful Crazy,Luke Combs,"""Beautiful Crazy"" by Luke Combs:
    [Verse 1]
    Her day starts with a coffee and ends with a wine
    Takes forever getting ready so she's nev..."
134,Look What God Gave Her,Thomas Rhett,"""Look What God Gave Her"" by Thomas Rhett:
    [Verse 1]
    Don't even want the attention
    But yeah, that's all that she's getting
    Her song is on and s..."
135,Going Bad,Meek Mill Featuring Drake,"""Going Bad"" by Meek Mill:
    [Intro: Drake & Future]
    Yeah
    (Wheezy outta here)
    Jeez, jeez
    
    [Verse 1: Drake]
    Back home, smokin' leg..."
136,Clout,Offset Featuring Cardi B,"""Clout"" by Offset Ft. Cardi B:
    (Intro Offset)
    
    Diamonds on fleek
    Bitch, I ain't talking about the heat, oh
    Put it on, streets
    We st..."
137,Shallow,Lady Gaga & Bradley Cooper,"""Shallow"" by Lady Gaga & Bradley Cooper:
    [Verse 1: Bradley Cooper]
    Tell me somethin', girl
    Are you happy in this modern world?
    Or do you need..."
138,Sanguine Paradise,Lil Uzi Vert,"""Sanguine Paradise"" by Lil Uzi Vert:
    [Intro]
    We be throwin' money in a spiral
    Every time your girl hear my song, yeah, turn her right int..."
139,New Magic Wand,"Tyler, The Creator","""NEW MAGIC WAND"" by Tyler, The Creator:
    [Intro: Jerrod Carmichael]
    Sometimes you gotta close a door to open a window
    
    [Verse 1: Tyler, The C..."
140,Better,Khalid,"""Better"" by Khalid:
    [Intro]
    Better
    Nothing, baby
    Nothing feels better
    I'm not really drunk, I never get that fucked up
    I..."
141,Just Us,DJ Khaled Featuring SZA,"""Just Us"" by DJ Khaled:
    [Intro: DJ Khaled]
    We The Best Music
    Another one
    DJ Khaled
    
    [Verse 1: SZA & DJ Khaled]
    Back against ..."
142,God's Country,Blake Shelton,"""God’s Country"" by Blake Shelton:
    [Verse 1]
    Right outside of this one church town
    There's a gold dirt road to a whole lot of nothin'
    G..."
143,Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean","""Jealous"" by DJ Khaled:
    [Intro: Chris Brown, DJ Khaled, & Lil Juice]
    Tay Keith (Tay Keith)
    Jealous, jealous
    We The Best Musi..."
144,Thotiana,Blueface,"""Thotiana"" by Blueface:
    [Intro]
    Blueface, baby
    Yeah aight
    Bust down, Thotiana
    Yeah aight
    I wanna see you bust down
    
    [Chorus]..."
